Model,Modality,Test AUC,Test AUPRC,Test F1,Notes
Gated Fusion,Fusion,0.638,0.3495,0.2887,Best properly evaluated model
Early Fusion (MLP HPO),Fusion,0.6378,0.3541,0.3465,
Late Fusion Ensemble,Fusion (Avg),0.6308,0.3463,0.4095,Lab XGBoost + Gated Fusion
XGBoost,Full Fusion + Events,0.6189,0.3411,0.4207,Proper validation
XGBoost,Lab Features Only,0.6268,0.3516,0.4106,135 lab trajectory features
XGBoost,Structured EHR + Labs,0.6218,0.3371,0.4217,
XGBoost,Structured EHR (GRU),0.6196,0.3361,0.4101,Proper validation
Temporal V2,no_temporal,0.6242,0.3359,0.4176,Neural fusion
XGBoost,All Text (Notes + Events),0.6068,0.3398,0.4076,
XGBoost,Discharge Notes,0.6067,0.3362,0.4083,
XGBoost,Static EHR,0.6018,0.3004,0.3917,
XGBoost,Radiology Notes,0.5984,0.3111,0.4090,
XGBoost,Clinical Events,0.5525,0.2740,0.4060,
XGBoost,Baseline (Demo),0.5297,0.2574,0.4000,Demographics only
