experiment,test_auc,test_auprc,test_f1,n_features
Structured EHR (GRU),0.6187908213692546,0.3487418097597739,0.4081145584725537,163
Struct EHR + Radiology,0.6167682212327161,0.3391892018298209,0.4024767801857585,931
Full Hybrid + Events,0.6164956542117973,0.32920668392684943,0.41695303550973656,2531
EHR Combined (Struct+Temporal),0.6162027083481929,0.33828139726550094,0.4129032258064516,227
Full Hybrid + Static,0.6152678289399944,0.33584198787327124,0.40765765765765766,2275
Struct EHR + Discharge,0.6110290296614055,0.33377503808827824,0.41656210790464243,931
Full Hybrid Fusion,0.611023934950734,0.32782015672273923,0.41092636579572445,1763
Struct EHR + All Text,0.6109245880926423,0.3324673460575581,0.4124223602484472,1699
Discharge Only,0.6100508452125003,0.32658909071629927,0.4066666666666667,803
Temporal EHR (Pooled),0.5990462701623174,0.31418710933325267,0.39035087719298245,99
Static EHR (BoE),0.5969905544064152,0.32666885894099773,0.39553072625698327,547
Clinical Events,0.5567423401025056,0.29330165278994624,0.40854700854700854,803
Radiology (Temporal),0.55426885807155,0.27123208615283073,0.4065934065934066,803
Baseline (Demo),0.5287367155419243,0.25617884832624394,0.39270199826238056,35
